title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Product Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Computer Memory Type,tech_Maximum Memory Supported,tech_Hard Disk Description,tech_Hard Drive Interface,tech_Audio Details,tech_Speaker Description,tech_Graphics Coprocessor,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Interface,tech_Connectivity Type,tech_Wireless Type,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Number of HDMI Ports,tech_Optical Drive Type,tech_Power Source,tech_Operating System,tech_Average Battery Standby Life (in hours),tech_Average Battery Life (in hours),tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Net Quantity,info_Generic Name,tech_Hard Drive Size,tech_Graphics Card Ram Size,tech_Voltage,tech_Front Webcam Resolution,tech_Hard Disk Rotational Speed,tech_Hardware Platform,tech_Lithium Battery Weight,tech_Package Dimensions,tech_Memory Clock Speed,tech_Wattage,tech_Rear Webcam Resolution,tech_Number of Audio-out Ports,tech_Number of Microphone Ports
"(Refurbished) HP EliteBook 430 G6 8th Gen Core i5 Laptop, 8 GB RAM, 512GB SSD , 13.3 inch, Windows 11 (Upgraded), MS Office, black","24,500",https://www.amazon.in/Refurbished-HP-EliteBook-430-G6/dp/B0CXNDCM7V/ref=sr_1_1302?dib=eyJ2IjoiMSJ9.hHq611cqyyWek41qQueyK2BAZzpgSexkqLMlhh1lqaI8Cbqhv-k7cur5C6N9Jb46h9Nn2PJNQomye6qzz681YEomKd5H9l2MRF1k445wH1ED-YuX9owHE_tQ3qBSFv7iyZxDqxzOrQ_bJuFU9KPuoI6KsnUIhpttw5v8-NVF7CytKNeqROVMji9DVxptXpa8E0SbWAXu1aYJCuMOeb3Xgwk1jbZxEiGY6V-KfM2wPL8LtaRKZFzzyIqvZRHy57VfDRFdERur-Z2jvEj88sGLVKwTJI8XLtjyd24c-2IndyXBVSD6FQh7chXZl5Gwyto98r-CEnN0mlphYZ2t46HN6yxZjMtaIbxWmnxyVE3JeaY.rzlSW16ADy8wfkbgfAAsDvBCp4-Bb632soLi1YxoSAo&dib_tag=se&qid=1737700771&s=computers&sr=1-1302&xpid=HEK9RULj79Ur3,24-01-2025 12:22,HP,Hp,430 G6,Silver,Laptop,,,13.3 Inches,1280 x 1024 pixels,1366 x 768 Pixels,,1 Lithium Ion batteries required. (included),430 G6,Intel,Core i5 Family,1.6 GHz,1,4 GB,DDR4,DDR4 SDRAM,32 GB,SSD,Solid State,,,INTEL,Intel,Integrated,GDDR4,Integrated,802_11_BGN,802.11bgn,,2,1,No Optical Drive,,Windows 10 Pro,,8 Hours,Yes,48 Kilowatt Hours,3,"charger, laptop",India,2 kg 500 g,B0CXNDCM7V,"2.6
18 ratings
2.6 out of 5 stars","#59,911 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,825 in Traditional Laptops",05-Mar-24,Renewed Seller,,,1.00 Piece,Business Laptop,512 GB,2,,,,Windows,,50.8 x 38.1 x 8.89 cm; 2.5 kg,,48 KW,,,
"AVITA Liber NS14A8INF561-PAF Special Edition Intel 10th Gen Core i5-10210U 14 inches(35cm) Gaming, Business Laptop (8GB/512GB SSD/Windows 10 Home/Integrated UHD Graphics, 1.25kg), Golden Matt Black","31,990",https://www.amazon.in/AVITA-NS14A8INF561-PAF-i5-10210U-Integrated-Graphics/dp/B08H17YDFR/ref=sr_1_1303?dib=eyJ2IjoiMSJ9.hHq611cqyyWek41qQueyK2BAZzpgSexkqLMlhh1lqaI8Cbqhv-k7cur5C6N9Jb46h9Nn2PJNQomye6qzz681YEomKd5H9l2MRF1k445wH1ED-YuX9owHE_tQ3qBSFv7iyZxDqxzOrQ_bJuFU9KPuoI6KsnUIhpttw5v8-NVF7CytKNeqROVMji9DVxptXpa8E0SbWAXu1aYJCuMOeb3Xgwk1jbZxEiGY6V-KfM2wPL8LtaRKZFzzyIqvZRHy57VfDRFdERur-Z2jvEj88sGLVKwTJI8XLtjyd24c-2IndyXBVSD6FQh7chXZl5Gwyto98r-CEnN0mlphYZ2t46HN6yxZjMtaIbxWmnxyVE3JeaY.rzlSW16ADy8wfkbgfAAsDvBCp4-Bb632soLi1YxoSAo&dib_tag=se&qid=1737700771&s=computers&sr=1-1303&xpid=HEK9RULj79Ur3,24-01-2025 12:22,AVITA,Alco Electronics Limited,Liber,Golden Matt black,Traditional Laptop,16 Millimeters,21.8 Centimeters,14 Inches,1920 x 1080 pixel,1920 x 1080 (Full HD),31.8 x 21.8 x 1.6 cm; 1.28 kg,1 Lithium Polymer batteries required. (included),NS14A8INF561-PAF,Intel,Core i5,4,1,8 GB,DDR4,,8 GB,Solid State Drive,USB 3.0,Speakers,1W x 2,Intel UHD Graphics 620,Intel,Integrated,DDR DRAM,AGP,"Bluetooth, Infrared, Wi-Fi",802.11a/b/g/n/ac,,2,1,No Optical Drive,Battery Powered,Windows 10 Home,10 Hours,10 Hours,Yes,,6,"Laptop, AC Adapter, User Guide, Manuals",China,1 kg 280 g,B08H17YDFR,"3.8
347 ratings
3.8 out of 5 stars","#63,827 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,959 in Traditional Laptops",30-Aug-20,"Alco Electronics (Dongguan) Limited Add: Gong Ye Xi Rd., Houjie Technology Industrial Park, Houjie, Dongguan, Guangdong, China P.C.:523960",APPARIO RETAIL PRIVATE LIMITED,31.8 x 21.8 x 1.6 Centimeters,1 U,Laptop,,,,,,,,,,,,1,1
"ASUSROG Zephyrus G16, 16"" ROG Nebula Display, 240Hz 500 nits, AMD Ryzen AI 9 HX 370, Gaming Laptop (16GB RAM/1TB SSD/NVIDIA GeForce RTX 4060/Win 11/Office 2021/Eclipse Gray/1.85 Kg), GA605WV-QP078WS","1,84,990",https://www.amazon.in/ASUSROG-Zephyrus-Display-GeForce-GA605WV-QP078WS/dp/B0DBLPK63J/ref=sr_1_1304?dib=eyJ2IjoiMSJ9.hHq611cqyyWek41qQueyK2BAZzpgSexkqLMlhh1lqaI8Cbqhv-k7cur5C6N9Jb46h9Nn2PJNQomye6qzz681YEomKd5H9l2MRF1k445wH1ED-YuX9owHE_tQ3qBSFv7iyZxDqxzOrQ_bJuFU9KPuoI6KsnUIhpttw5v8-NVF7CytKNeqROVMji9DVxptXpa8E0SbWAXu1aYJCuMOeb3Xgwk1jbZxEiGY6V-KfM2wPL8LtaRKZFzzyIqvZRHy57VfDRFdERur-Z2jvEj88sGLVKwTJI8XLtjyd24c-2IndyXBVSD6FQh7chXZl5Gwyto98r-CEnN0mlphYZ2t46HN6yxZjMtaIbxWmnxyVE3JeaY.rzlSW16ADy8wfkbgfAAsDvBCp4-Bb632soLi1YxoSAo&dib_tag=se&qid=1737700771&s=computers&sr=1-1304&xpid=HEK9RULj79Ur3,24-01-2025 12:22,ASUS,ASUS,ROG Zephyrus G16,Eclipse Gray,Laptop,,,16 Inches,2560 x 1600 pixel,2560 x 1600 Pixels,,1 Lithium Ion batteries required. (included),GA605WV-QP078WS,AMD,Ryzen 9,5.1 GHz,12,16,lpddr5xlpddr5xlpddr5x,DDR5 RAM,,SSD,,,,NVIDIA GeForce RTX 4060,AMD,Dedicated,GDDR6,Integrated,,,,,,No Optical Storage,,Windows 11 Home,,,Yes,90 Watt Hours,4,"Laptop, Charging Adapter & User Manual",China,1 kg 850 g,B0DBLPK63J,"5.0
1 rating
5.0 out of 5 stars","#91,342 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,894 in Traditional Laptops",30-Jul-24,"TECH FRONT (CHONGQING) COMPUTER CO. LTD. NO. 18, ZONGBAO ROAD, SHAPINGBA DISTRICT CHONGQING, CHINA","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",,1 Count,Laptop,,8 GB,,,,,,56.7 x 34.7 x 13.1 cm; 1.85 kg,,,,,
"[Smartchoice] HP OMEN Gaming Laptop, AMD Ryzen 7 7840HS, 8GB RTX 4060 GPU, 16.1"" (40.9cm), FHD, IPS, 165 Hz, 300 nits, 16GB DDR5, 1TB SSD, RGB KB, 7 ms Response time (Win 11, Black, 2.32 kg), xd0020AX","1,21,900",https://www.amazon.in/Smartchoice-HP-Gaming-Response-xd0020AX/dp/B0D1YKJL43/ref=sr_1_1305?dib=eyJ2IjoiMSJ9.hHq611cqyyWek41qQueyK2BAZzpgSexkqLMlhh1lqaI8Cbqhv-k7cur5C6N9Jb46h9Nn2PJNQomye6qzz681YEomKd5H9l2MRF1k445wH1ED-YuX9owHE_tQ3qBSFv7iyZxDqxzOrQ_bJuFU9KPuoI6KsnUIhpttw5v8-NVF7CytKNeqROVMji9DVxptXpa8E0SbWAXu1aYJCuMOeb3Xgwk1jbZxEiGY6V-KfM2wPL8LtaRKZFzzyIqvZRHy57VfDRFdERur-Z2jvEj88sGLVKwTJI8XLtjyd24c-2IndyXBVSD6FQh7chXZl5Gwyto98r-CEnN0mlphYZ2t46HN6yxZjMtaIbxWmnxyVE3JeaY.rzlSW16ADy8wfkbgfAAsDvBCp4-Bb632soLi1YxoSAo&dib_tag=se&qid=1737700771&s=computers&sr=1-1305&xpid=HEK9RULj79Ur3,24-01-2025 12:22,HP,HP,HP Laptop,Black,Ultra-Portable,59.6 Centimeters,36.6 Centimeters,40.9 Centimetres,1920 x 1080 pixel,,7.1 x 36.6 x 59.6 cm; 4.21 kg,1 Lithium Ion batteries required. (included),16-Xd0020Ax,AMD,AMD Ryzen 7,5.1 GHz,1,16,DDR5,,16 GB,SSD,,Speakers,,NVIDIA GeForce RTX 4050,AMD,Dedicated,GDDR6,Integrated,Wi-Fi,,,,,,,Windows 11 Home,,,Yes,83 Watt Hours,6,"Laptop, Charger, User Manual",China,4 kg 210 g,B0D1YKJL43,"4.1
10 ratings
4.1 out of 5 stars","#63,353 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,940 in Traditional Laptops",17-Apr-24,"SG69 - Compal NO. 15, THIRD AVENUE, A ZONE, KUNSHAN COMPREHENSIVE FREETRADE ZONE, KUNSHAN, JIANGSU, CHINA","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030.",7.1 x 36.6 x 59.6 Centimeters,1 Count,Laptop,1 TB,6 GB,100 Volts,,,,,,,,,,
"HP 15s 12th Gen Intel Core i3-1215U 15.6inch (39.6 cm) FHD Anti-Glare, 8GB RAM, 512GB SSD, Intel UHD Graphics, Dual Speakers, (Win 11 Home, MSO 2021, Silver, 1.69 kg), 15s-fq5185TU","34,900",https://www.amazon.in/HP-i3-1215U-15-6inch-Anti-glare-15s-FQ5185tu/dp/B0CJM5J5LS/ref=sr_1_1306?dib=eyJ2IjoiMSJ9.hHq611cqyyWek41qQueyK2BAZzpgSexkqLMlhh1lqaI8Cbqhv-k7cur5C6N9Jb46h9Nn2PJNQomye6qzz681YEomKd5H9l2MRF1k445wH1ED-YuX9owHE_tQ3qBSFv7iyZxDqxzOrQ_bJuFU9KPuoI6KsnUIhpttw5v8-NVF7CytKNeqROVMji9DVxptXpa8E0SbWAXu1aYJCuMOeb3Xgwk1jbZxEiGY6V-KfM2wPL8LtaRKZFzzyIqvZRHy57VfDRFdERur-Z2jvEj88sGLVKwTJI8XLtjyd24c-2IndyXBVSD6FQh7chXZl5Gwyto98r-CEnN0mlphYZ2t46HN6yxZjMtaIbxWmnxyVE3JeaY.rzlSW16ADy8wfkbgfAAsDvBCp4-Bb632soLi1YxoSAo&dib_tag=se&qid=1737700771&s=computers&sr=1-1306&xpid=HEK9RULj79Ur3,24-01-2025 12:22,HP,HP,HP Laptop 15s-fq5185TU,Silver,laptop,52.2 Centimeters,31.3 Centimeters,39.6 Centimetres,1920 x 1080 pixel,1920 x 1080 Pixels,6.8 x 31.3 x 52.2 cm; 1.69 kg,1 Lithium Polymer batteries required. (included),7Q6Z7PA,Intel,Core i3,4.4 GHz,1,8 GB,DDR4,DDR4 SDRAM,8 GB,SSD,Solid State,Headphones,Dual stereo speakers,Intel,Intel,Integrated,DDR4 SDRAM,Integrated,"Bluetooth, Wi-Fi",,,2,1,,,Windows 11 Home,,41 Watt Hours,Yes,41 Watt Hours,3,"Laptop, charger",China,1 kg 690 g,B0CJM5J5LS,"3.5
7 ratings
3.5 out of 5 stars","#64,028 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,969 in Traditional Laptops",22-Sep-23,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,6.8 x 31.3 x 52.2 Centimeters,1 count,Laptop,512 GB,8 GB,15 Volts,720 Pixels,7200 RPM,,,,3200 GHz,41 Watt Hours,,,
"Dell Alienware M18 R1, Windows 11 Home, Intel Core I9-13980HX| NVIDIA RTX 4090, 16GB|64GB RAM|1TB SSD, FHD|Window 11|Ms Office' 21|18.0"" (45.72Cm)|Dark Metallic Moon|2.72Kg|Gaming Laptop","4,50,990",https://www.amazon.in/Dell-Alienware-i9-13980HX-Processor-Metallic/dp/B0C9F1VXCJ/ref=sr_1_1307?dib=eyJ2IjoiMSJ9.hHq611cqyyWek41qQueyK2BAZzpgSexkqLMlhh1lqaI8Cbqhv-k7cur5C6N9Jb46h9Nn2PJNQomye6qzz681YEomKd5H9l2MRF1k445wH1ED-YuX9owHE_tQ3qBSFv7iyZxDqxzOrQ_bJuFU9KPuoI6KsnUIhpttw5v8-NVF7CytKNeqROVMji9DVxptXpa8E0SbWAXu1aYJCuMOeb3Xgwk1jbZxEiGY6V-KfM2wPL8LtaRKZFzzyIqvZRHy57VfDRFdERur-Z2jvEj88sGLVKwTJI8XLtjyd24c-2IndyXBVSD6FQh7chXZl5Gwyto98r-CEnN0mlphYZ2t46HN6yxZjMtaIbxWmnxyVE3JeaY.rzlSW16ADy8wfkbgfAAsDvBCp4-Bb632soLi1YxoSAo&dib_tag=se&qid=1737700771&s=computers&sr=1-1307&xpid=HEK9RULj79Ur3,24-01-2025 12:22,Dell,Dell India Pvt Ltd,Alienware,Dark Metallic Moon,Laptop,59.6 Centimeters,8.6 Centimeters,18 Inches,2560 x 1440 pixel,,59.6 x 8.6 x 59.6 cm; 2.72 kg,1 Lithium Ion batteries required. (included),Alienware m18 R1,Intel,Core i9,5.6 GHz,1,64 GB,DDR5,,64 GB,SSD,Solid State,Speakers,,NVIDIA GeForce RTX 4090,NVIDIA,Dedicated,GDDR6,PCI Express,"Bluetooth, Wi-Fi",Bluetooth,,3,1,,Battery Powered,Windows 11 Home,,5 Hours,Yes,97 Watt Hours,1,"Laptop, Battery, AC Adapter, User Guide, Manuals",China,2 kg 720 g,B0C9F1VXCJ,"4.1
13 ratings
4.1 out of 5 stars","#88,684 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,803 in Traditional Laptops",26-Jun-23,Dell India Pvt Ltd,Dell India Pvt Ltd,59.6 x 8.6 x 59.6 Centimeters,1 Count,Laptop,1 TB,16 GB,240 Volts,,,,,,4800 MHz,65 Watts,,,
"Lenovo V14 Intel Core I3 11th Gen 14"" Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11/Iron Grey/1.5 kg)","34,970",https://www.amazon.in/Lenovo-Intel-Light-Laptop-Windows/dp/B0BLHQXV42/ref=sr_1_1308?dib=eyJ2IjoiMSJ9.hHq611cqyyWek41qQueyK2BAZzpgSexkqLMlhh1lqaI8Cbqhv-k7cur5C6N9Jb46h9Nn2PJNQomye6qzz681YEomKd5H9l2MRF1k445wH1ED-YuX9owHE_tQ3qBSFv7iyZxDqxzOrQ_bJuFU9KPuoI6KsnUIhpttw5v8-NVF7CytKNeqROVMji9DVxptXpa8E0SbWAXu1aYJCuMOeb3Xgwk1jbZxEiGY6V-KfM2wPL8LtaRKZFzzyIqvZRHy57VfDRFdERur-Z2jvEj88sGLVKwTJI8XLtjyd24c-2IndyXBVSD6FQh7chXZl5Gwyto98r-CEnN0mlphYZ2t46HN6yxZjMtaIbxWmnxyVE3JeaY.rzlSW16ADy8wfkbgfAAsDvBCp4-Bb632soLi1YxoSAo&dib_tag=se&qid=1737700771&s=computers&sr=1-1308&xpid=HEK9RULj79Ur3,24-01-2025 12:22,Lenovo,lenovo,V14,Gray,Laptop,,,14 Inches,1920 x 1080 pixels,,,,,Intel,Core i3,3.4 GHz,8,8 GB,DDR4,DDR4 SDRAM,8 GB,Solid State Hard Drive,,Headphones,,Intel UHD Graphics,Intel,Integrated,DDR4 SDRAM,,Wi-Fi,Bluetooth,,,,,Battery Powered,Windows,,,,,,,China,1 kg 500 g,B0BLHQXV42,"3.9
14 ratings
3.9 out of 5 stars","#61,597 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,894 in Traditional Laptops",20-Nov-22,,,,1.00 Set,laptop,256 GB,8 GB,,,5400 RPM,,,39 x 24 x 5 cm; 1.5 kg,3200 MHz,65 Watts,,,
"Lenovo LOQ 12th Gen Intel Core i5-12450H 15.6"" (39.6cm) FHD IPS 144Hz 350Nits Gaming Laptop (16GB/512GB SSD/Win 11/NVIDIA RTX 3050 6GB/3 Month Game Pass/Office 2021/Storm Grey/2.4Kg), 82XV00F5IN","68,890",https://www.amazon.in/Lenovo-i5-12450H-39-6cm-350Nits-82XV00F5IN/dp/B0D1V2HV72/ref=sr_1_1309?dib=eyJ2IjoiMSJ9.hHq611cqyyWek41qQueyK2BAZzpgSexkqLMlhh1lqaI8Cbqhv-k7cur5C6N9Jb46h9Nn2PJNQomye6qzz681YEomKd5H9l2MRF1k445wH1ED-YuX9owHE_tQ3qBSFv7iyZxDqxzOrQ_bJuFU9KPuoI6KsnUIhpttw5v8-NVF7CytKNeqROVMji9DVxptXpa8E0SbWAXu1aYJCuMOeb3Xgwk1jbZxEiGY6V-KfM2wPL8LtaRKZFzzyIqvZRHy57VfDRFdERur-Z2jvEj88sGLVKwTJI8XLtjyd24c-2IndyXBVSD6FQh7chXZl5Gwyto98r-CEnN0mlphYZ2t46HN6yxZjMtaIbxWmnxyVE3JeaY.rzlSW16ADy8wfkbgfAAsDvBCp4-Bb632soLi1YxoSAo&dib_tag=se&qid=1737700771&s=computers&sr=1-1309&xpid=HEK9RULj79Ur3,24-01-2025 12:22,Lenovo,Lenovo,LOQ 15IRH8,Storm Grey,Ultra-Portable,54.3 Centimeters,36.5 Centimeters,15.6 Inches,1920 x 1080 pixel,,8.4 x 36.5 x 54.3 cm; 3.59 kg,1 Lithium Polymer batteries required. (included),15IRH8,Intel,Intel Core i5,2 GHz,8,16,DDR5,DDR5 RAM,32 GB,SSD,,Headphones,2 x 2W speakers with Nahimic Audio & Sound Tracker,,NVIDIA,Dedicated,GDDR6,PCI Express,Wi-Fi,,,4,,Not Available,,Windows 11,,6 Hours,Yes,60 Watt Hours,4,Laptop,China,3 kg 590 g,B0D1V2HV72,"1.9
5 ratings
1.9 out of 5 stars","#85,549 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,699 in Traditional Laptops",16-Apr-24,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",8.4 x 36.5 x 54.3 Centimeters,1 Piece,Laptop,512 GB,6 GB,12 Volts,,,,,,,,,,
"Samsung Galaxy Book4 (Silver, 8GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core 5 120U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port","54,480",https://www.amazon.in/Samsung-Processor-Windows-Fingerprint-Graphics/dp/B0CX4SFLRC/ref=sr_1_1310?dib=eyJ2IjoiMSJ9.hHq611cqyyWek41qQueyK2BAZzpgSexkqLMlhh1lqaI8Cbqhv-k7cur5C6N9Jb46h9Nn2PJNQomye6qzz681YEomKd5H9l2MRF1k445wH1ED-YuX9owHE_tQ3qBSFv7iyZxDqxzOrQ_bJuFU9KPuoI6KsnUIhpttw5v8-NVF7CytKNeqROVMji9DVxptXpa8E0SbWAXu1aYJCuMOeb3Xgwk1jbZxEiGY6V-KfM2wPL8LtaRKZFzzyIqvZRHy57VfDRFdERur-Z2jvEj88sGLVKwTJI8XLtjyd24c-2IndyXBVSD6FQh7chXZl5Gwyto98r-CEnN0mlphYZ2t46HN6yxZjMtaIbxWmnxyVE3JeaY.rzlSW16ADy8wfkbgfAAsDvBCp4-Bb632soLi1YxoSAo&dib_tag=se&qid=1737700771&s=computers&sr=1-1310&xpid=HEK9RULj79Ur3,24-01-2025 12:22,Samsung,Samsung,Samsung Galaxy Book4,Silver,Ultra-Portable,,,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,,1 Lithium Ion batteries required. (included),NP750XGK-KS1IN,Intel,Others,1.4 GHz,1,,LPDDR4X,DDR4 SDRAM,16 GB,SSD,Solid State,"Headphones, Speakers",Dolby Atmos,Intel Iris Xe Graphics,Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi","Bluetooth, 802.11ax",,2,1,,,Windows 11 Home,,,Yes,54 Watt Hours,4,"Notebook,45W Charger,Data Cable(USB-C to C, 1.8m),Quick Start Guide,,",,1 kg 550 g,B0CX4SFLRC,"3.0
1 rating
3.0 out of 5 stars","#92,089 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,914 in Traditional Laptops",05-Mar-24,"Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi-110001","Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi-110001",,1 Count,Laptops,512 GB,,15.4 Volts,1 MP,,,220 Grams,50.5 x 29.7 x 6.9 cm; 1.55 kg,5 GHz,45 Watts,,,
"Samsung Galaxy Book4 (Silver, 8GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core 5 120U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port","54,480",https://www.amazon.in/Samsung-Processor-Windows-Fingerprint-Graphics/dp/B0CX4SFLRC/ref=sr_1_1321?dib=eyJ2IjoiMSJ9.b2J4oxtXMEdrv-v4glLNthcJ4SsRUfY4eTNy3Y21ClaPwewZWt29j6Ybb2MlstKiJPzTD6I0OLJzP-HAEWZZNK-ZCW_1JRknDRn2AmgVo1hZrhL9iRDQgfIIoouByCaXhdl6bbBIuoUDfJOy4enGyJC_tIkz-SxMOTYqFwcgAhKDm0Z6A8H61Y9LvBMizpJhoCNHhrXJSAk3175WzHoJA4BwTQsrhiQY51xtc8ouhENnCAnTTUnV4X121lqrHqZw-1HbweTAjLjaVduVMo5hpYAlKKm4gKpFmfoRvKV8Nef81xl464_ub-I6XFKdXhPqk9otfrj1N_Ypvc2FhdnVizR2NBpR3MZ03-f1at6ODOA.aFVTe4E57lgk_h3_WHyue18iGV3wgC4weHEMxhJy__c&dib_tag=se&qid=1737701221&s=computers&sr=1-1321&xpid=HEK9RULj79Ur3,24-01-2025 12:22,Samsung,Samsung,Samsung Galaxy Book4,Silver,Ultra-Portable,,,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,,1 Lithium Ion batteries required. (included),NP750XGK-KS1IN,Intel,Others,1.4 GHz,1,,LPDDR4X,DDR4 SDRAM,16 GB,SSD,Solid State,"Headphones, Speakers",Dolby Atmos,Intel Iris Xe Graphics,Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi","Bluetooth, 802.11ax",,2,1,,,Windows 11 Home,,,Yes,54 Watt Hours,4,"Notebook,45W Charger,Data Cable(USB-C to C, 1.8m),Quick Start Guide,,",,1 kg 550 g,B0CX4SFLRC,"3.0
1 rating
3.0 out of 5 stars","#92,089 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,914 in Traditional Laptops",05-Mar-24,"Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi-110001","Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi-110001",,1 Count,Laptops,512 GB,,15.4 Volts,1 MP,,,220 Grams,50.5 x 29.7 x 6.9 cm; 1.55 kg,5 GHz,45 Watts,,,
