title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Package Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Disk Description,tech_Hard Drive Interface,tech_Audio Details,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Interface,tech_Connectivity Type,tech_Operating System,tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Lithium Battery Weight,tech_Number of Lithium Ion Cells,tech_Number of Lithium Metal Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Net Quantity,info_Generic Name,tech_Item Height,tech_Item Width,tech_Product Dimensions,tech_Hard Drive Size,tech_Optical Drive Type,info_Customer Reviews,info_Item Dimensions LxWxH,tech_RAM Size,tech_Computer Memory Type,tech_Memory Clock Speed,tech_Speaker Description,tech_Graphics Coprocessor,tech_Graphics Card Ram Size,tech_Wireless Type,tech_Number of USB 3.0 Ports,tech_Voltage,tech_Average Battery Life (in hours),tech_Front Webcam Resolution,tech_Power Source,tech_Number of USB 2.0 Ports,tech_Number of HDMI Ports,tech_Number of Ethernet Ports,tech_Model,tech_Model Name,tech_Model Year,tech_Memory Storage Capacity,tech_Memory Slots Available,tech_Flash Memory Installed Size,tech_Ram Memory Installed Size,tech_RAM memory maximum size,tech_Ram Memory Technology,tech_Processor model number,tech_Hardware Platform,tech_Hardware Interface,tech_Special Features,tech_Chipset Type,tech_Mounting Hardware,tech_Number of items,tech_Software included,tech_Display Technology,tech_Display Type,tech_Audio Output Type,tech_Wattage,tech_Battery Average Life,tech_Batteries Included,tech_Batteries Required,tech_Battery cell composition,tech_Refresh Rate,tech_Total USB ports,tech_Keyboard Description,tech_Connector Type,tech_Device type,tech_ASIN,info_Manufacturer,info_Item Weight,info_Included Components,tech_Hard Disk Rotational Speed,tech_Average Battery Standby Life (in hours),tech_Rear Webcam Resolution,tech_Number of Audio-out Ports,tech_Processor Socket
"ASUS Vivobook 15, Intel Core i5-12500H 12Th Gen, 15.6"" (39.62 Cm) FHD, 60Hz, Thin and Light Laptop (16GB RAM/512GB/Windows 11/Office 2021/Silver/1.7 Kg), X1502Za-EJ542WS","49,990",https://www.amazon.in/ASUS-Vivobook-i5-12500H-Laptop-X1502ZA-EJ542WS/dp/B0C5Y3JBC4/ref=sr_1_320?dib=eyJ2IjoiMSJ9.umxf-QhliDbEv0kB_xcAdO3kz2KCQ-8nEapYzX3M22VNyu8a8rGw-kjf9CoMFHNdumz9aUSEky8ZzPS8w9WfPZrHYxLWK66jAmF5fUsfvrVKMAm3iDaosJGkIrWMmnPWcpVeBynbWPyj0HQfIYuMDmddUNMeZkNChFIbXEWz8P8SKKXWY3yhpkoGsNIrX2mZj50vWnsSBqDx6mSEr-YTTTSE88dCX61g5MngvAKri69vMpeF5C5m5dgr02Q6PRBsWN2j57ArBzVC2Y6mY1w0qLzK_1ieiZhKBG1DzfFqgr2B3kiTxncezrckIHv8IiRnEG7uFbrq54ZfT99JIRCwPA4i4qhIIBqBq0Y6lq_YJAQ.wU1d8u-PnWL2kyUdyYEZf-YbtDoLP4prCQDO9F4xJ6U&dib_tag=se&qid=1737563037&s=computers&sr=1-320&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,ASUS,ASUS,ASUS Vivobook,Silver 16GB FHD,Ultra-Portable,15.6 Inches,1920 x 1080 pixel,1920 x 1080 Pixels,,1 Lithium Ion batteries required. (included),X1502ZA-EJ542WS,Intel,Core i5,4.5 GHz,8,DDR4,24 GB,SSD,,"Headphones, Speakers",Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,Yes,42 Watt Hours,10 Grams,3,,"Laptop, Power Adaptor & User Manual",China,1 kg 700 g,B0C5Y3JBC4,"#14,191 in Computers & Accessories (See Top 100 in Computers & Accessories)
#426 in Traditional Laptops",22-May-23,"DIGITEK (CHONGQING) Limited, B01 SEC C Airport Function Zone Lianglu Cuntan Free Trade Port Area, Yubei District, China","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",1 Count,Laptop,49.3 Centimeters,6.5 Centimeters,49.3 x 6.5 x 49.3 cm; 1.7 kg,512 GB,No Optical Storage,"3.9
164 ratings
3.9 out of 5 stars",49.3 x 6.5 x 49.3 Centimeters,16 GB,SODIMM,3200 MHz,,Intel Iris Xe Graphics,16 GB,"Bluetooth, 802.11ax",3,19 Volts (AC),6 Hours,,Battery Powered,1,,,,,,,,,,,,,PC,,,,,,,,,,65 Watts,,,,,,,,,,,,,,,,,,
"(Refurbished) Dell Latitude Laptop 7480 Intel Core i5 - 7300u Processor 7th Gen, 16 GB Ram & 512 GB SSD, 14.1 Inches (Ultra Slim & Feather Light 1.48KG) Notebook Computer","22,799",https://www.amazon.in/Refurbished-Dell-Latitude-Laptop-Intel/dp/B0CDQ6MH3R/ref=sr_1_321?dib=eyJ2IjoiMSJ9.umxf-QhliDbEv0kB_xcAdO3kz2KCQ-8nEapYzX3M22VNyu8a8rGw-kjf9CoMFHNdumz9aUSEky8ZzPS8w9WfPZrHYxLWK66jAmF5fUsfvrVKMAm3iDaosJGkIrWMmnPWcpVeBynbWPyj0HQfIYuMDmddUNMeZkNChFIbXEWz8P8SKKXWY3yhpkoGsNIrX2mZj50vWnsSBqDx6mSEr-YTTTSE88dCX61g5MngvAKri69vMpeF5C5m5dgr02Q6PRBsWN2j57ArBzVC2Y6mY1w0qLzK_1ieiZhKBG1DzfFqgr2B3kiTxncezrckIHv8IiRnEG7uFbrq54ZfT99JIRCwPA4i4qhIIBqBq0Y6lq_YJAQ.wU1d8u-PnWL2kyUdyYEZf-YbtDoLP4prCQDO9F4xJ6U&dib_tag=se&qid=1737563037&s=computers&sr=1-321&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,Dell,Dell,7480,,Laptop,14.1 Inches,1920 x 1080 pixels,HD (1366 X 768) Pixels,,,7480-i5-7-16-512,Intel,Core i5 7200U,2.7 GHz,1,DDR4,16 GB,SSD,,,Intel,Integrated,DDR SDRAM,Integrated,Wi-Fi,Windows 10 Pro,No,,,,,Laptop&Charger,,1 kg 480 g,B0CDQ6MH3R,"#11,693 in Computers & Accessories (See Top 100 in Computers & Accessories)
#9 in Sankranti / Pongal Store
#11 in Christmas with Amazon Renewed
#32 in Renewed Store.",04-Aug-23,,,1.00 count,,2 Centimeters,23.5 Centimeters,34 x 23.5 x 2 cm; 1.48 kg,,No Optical Drive,"3.9
5 ratings
3.9 out of 5 stars",34 x 23.5 x 2 Centimeters,16 GB,,,,,,,3,,,,Battery Powered,2,,,,,,,,,,,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,5400 RPM,,,,
"HP Victus, AMD Ryzen 5 5600H, NVIDIA RTX 3050, 8GB DDR4, 512GB SSD, 144Hz, 9MS, IPS, 15.6-inch(39.6cm) FHD Gaming Laptop, Enhanced Cooling (Win 11, Office 21, Silver, 2.37kg) fb0082AX","56,470",https://www.amazon.in/Victus-15-6-Inch-Backlit-Speakers-Fb0082Ax-Windows/dp/B0BZYP6JK8/ref=sr_1_322?dib=eyJ2IjoiMSJ9.umxf-QhliDbEv0kB_xcAdO3kz2KCQ-8nEapYzX3M22VNyu8a8rGw-kjf9CoMFHNdumz9aUSEky8ZzPS8w9WfPZrHYxLWK66jAmF5fUsfvrVKMAm3iDaosJGkIrWMmnPWcpVeBynbWPyj0HQfIYuMDmddUNMeZkNChFIbXEWz8P8SKKXWY3yhpkoGsNIrX2mZj50vWnsSBqDx6mSEr-YTTTSE88dCX61g5MngvAKri69vMpeF5C5m5dgr02Q6PRBsWN2j57ArBzVC2Y6mY1w0qLzK_1ieiZhKBG1DzfFqgr2B3kiTxncezrckIHv8IiRnEG7uFbrq54ZfT99JIRCwPA4i4qhIIBqBq0Y6lq_YJAQ.wU1d8u-PnWL2kyUdyYEZf-YbtDoLP4prCQDO9F4xJ6U&dib_tag=se&qid=1737563037&s=computers&sr=1-322&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,HP,HP,Victus Gaming Laptop,Mica Silver,Netbook,39.6,1920 x 1080 pixels,,,1 Lithium Ion batteries required. (included),15-fb0082AX,AMD,Ryzen 5,4.2,1,DDR4,16 GB,SSD,,"Headphones, Speakers",NVIDIA,Dedicated,GDDR6,PCI Express,Wi-Fi,Windows 11 Home,Yes,70 Watt Hours,0.3 Kilograms,4,,"Laptop, Power Adapter, User Manual",,2 kg 370 g,B0BZYP6JK8,"#7,686 in Computers & Accessories (See Top 100 in Computers & Accessories)
#258 in Traditional Laptops",30-Mar-23,"SG66 – QUANTA CQ Tech-Front (CHongqing) computer CO.,LTD 18#, comprehensive bonded zone avenue, Shapingba District 401332 Chongqing China","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030.",1 Count,Laptop,2.72 Inches,12.01 Inches,51.99 x 30.51 x 6.91 cm; 2.37 kg,512 GB,,"5.0
2 ratings
5.0 out of 5 stars",52 x 30.5 x 6.9 Centimeters,32 GB,DDR4 SDRAM,,"Audio by B&O, Dual speakers",NVIDIA GeForce RTX 3050,4 GB,802.11ax,3,,10 Hours,,,,1,,,,,,,,,,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad Flex 5 AMD Ryzen 5 7530U 14"" (35.5cm) WUXGA+ IPS 2-in-1 Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FPR/FHD Camera/Alexa/3 Month Game Pass/Arctic Grey/1.55Kg), 82XX007KIN","61,490",https://www.amazon.in/Lenovo-IdeaPad-Backlit-Fingerprint-82XX007KIN/dp/B0C9HLY5S3/ref=sr_1_313?dib=eyJ2IjoiMSJ9.umxf-QhliDbEv0kB_xcAdO3kz2KCQ-8nEapYzX3M22VNyu8a8rGw-kjf9CoMFHNdumz9aUSEky8ZzPS8w9WfPZrHYxLWK66jAmF5fUsfvrVKMAm3iDaosJGkIrWMmnPWcpVeBynbWPyj0HQfIYuMDmddUNMeZkNChFIbXEWz8P8SKKXWY3yhpkoGsNIrX2mZj50vWnsSBqDx6mSEr-YTTTSE88dCX61g5MngvAKri69vMpeF5C5m5dgr02Q6PRBsWN2j57ArBzVC2Y6mY1w0qLzK_1ieiZhKBG1DzfFqgr2B3kiTxncezrckIHv8IiRnEG7uFbrq54ZfT99JIRCwPA4i4qhIIBqBq0Y6lq_YJAQ.wU1d8u-PnWL2kyUdyYEZf-YbtDoLP4prCQDO9F4xJ6U&dib_tag=se&qid=1737563037&s=computers&sr=1-313&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,Lenovo,Lenovo,IdeaPad Flex 5 14ABR8,Arctic Grey,Convertible,14 Inches,1920 x 1080 pixel,1920 x 1200 Pixels,,1 Lithium Polymer batteries required. (included),,AMD,Ryzen 5,2 GHz,6,LPDDR4X,16 GB,SSD,PCIE x 4,"Headphones, Speakers",AMD,Integrated,Shared,Integrated,Wi-Fi,Windows 11 Home,Yes,,,3,,Laptop,,1 kg 550 g,B0C9HLY5S3,"#18,121 in Computers & Accessories (See Top 100 in Computers & Accessories)
#12 in 2 in 1 Laptops",14-Jul-23,"One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China","Lenovo (India) Private Limited, RBD Icon, Level 2, Doddenakundi Village, Marathahalli Outer Ring Road, K. R. Puram Hobli, Bangalore 560037, Karnataka, India",1 Piece,Laptop,48 Centimeters,7.1 Centimeters,48 x 7.1 x 48 cm; 1.55 kg,512 GB,No Optical Drive,"3.9
14 ratings
3.9 out of 5 stars",48 x 7.1 x 48 Centimeters,16 GB,DDR4 SDRAM,,"Front-facing stereo speakers, 2W x2, optimized with Dolby Audio",AMD Radeon,,,3,,10 Hours,,Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 Hours,,,
"MSI Sword 16 HX, Intel 13th Gen. i9-13980HX, 41CM 16:10 FHD+ 144Hz Gaming Laptop(32GB/1TB NVMe SSD/Windows 11 Home/Office 2021/NVIDIA GeForce RTX 4060, GDDR6 8GB /Cosmos Gray/2.3Kg),13VFKG-652IN","1,32,590",https://www.amazon.in/MSI-Sword-Intel-13th-i9-13980HX/dp/B0C2P6C35M/ref=sr_1_314?dib=eyJ2IjoiMSJ9.umxf-QhliDbEv0kB_xcAdO3kz2KCQ-8nEapYzX3M22VNyu8a8rGw-kjf9CoMFHNdumz9aUSEky8ZzPS8w9WfPZrHYxLWK66jAmF5fUsfvrVKMAm3iDaosJGkIrWMmnPWcpVeBynbWPyj0HQfIYuMDmddUNMeZkNChFIbXEWz8P8SKKXWY3yhpkoGsNIrX2mZj50vWnsSBqDx6mSEr-YTTTSE88dCX61g5MngvAKri69vMpeF5C5m5dgr02Q6PRBsWN2j57ArBzVC2Y6mY1w0qLzK_1ieiZhKBG1DzfFqgr2B3kiTxncezrckIHv8IiRnEG7uFbrq54ZfT99JIRCwPA4i4qhIIBqBq0Y6lq_YJAQ.wU1d8u-PnWL2kyUdyYEZf-YbtDoLP4prCQDO9F4xJ6U&dib_tag=se&qid=1737563037&s=computers&sr=1-314&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,MSI,MSI,Sword 16 HX B13VFKG,Cosmos Gray,,41 Centimetres,1920 x 1200 pixels,1920x1200,48.9 x 32.5 x 8.9 cm; 2.3 kg,1 9V batteries required. (included),9S7-15P214-652,Intel,Core i9,2.2 GHz,1,DDR5,96 GB,SSD,,"Headphones, Speakers",Intel,Dedicated,GDDR6,PCI Express,"Bluetooth, Wi-Fi",Windows 11 Home,Yes,65 Watt Hours,,4,,"User Guide, Laptop, Power Adaptor",,2 kg 300 g,B0C2P6C35M,"#15,956 in Computers & Accessories (See Top 100 in Computers & Accessories)
#460 in Traditional Laptops",27-Nov-24,"Micro-Star International Co., Ltd. No. 88 East Qianjin Road, Kunshan City, Jiangsu, China","Any one of the below: 1.Acro Engineering Company C-87 DDA Sheds, Okhla Industrial Area, Phase-1, New Delhi 110020, India 2.Redington (India) Limited “Redington House” Centre Point, Plot Nos. 8 & 11 (SP) Thiru. Vi. Ka, Industrial Estate, Chennai 600032, India 3.Ingram Micro India Private Limited 5th Floor, Empire Plaza, Building A, LBS Marg, Vikhroli West, Mumbai 400083, India 4.World Peace International (India) Private Limited Building No. 26, 2nd Floor, Okhla Phase III, New Delhi 110020, India.",1 Count,Laptop,,,,1 TB,,"4.0
2 ratings
4.0 out of 5 stars",,,DDR5 RAM,,Built-in speakers,NVIDIA GeForce RTX 4060,8 GB,802.11ax,3,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo V15 G3 Intel Core i3-1215U 12th Gen Thin and Light Laptop/ 8GB DDR4 3200 Ram / 512 GB SSD PCIe/Windows 11/Integrated Graphics /15.6"" FHD Display / 1 Year Warranty","31,980",https://www.amazon.in/Lenovo-i3-1215U-Integrated-Graphics-Warranty/dp/B0D5Z1J8GR/ref=sr_1_315?dib=eyJ2IjoiMSJ9.umxf-QhliDbEv0kB_xcAdO3kz2KCQ-8nEapYzX3M22VNyu8a8rGw-kjf9CoMFHNdumz9aUSEky8ZzPS8w9WfPZrHYxLWK66jAmF5fUsfvrVKMAm3iDaosJGkIrWMmnPWcpVeBynbWPyj0HQfIYuMDmddUNMeZkNChFIbXEWz8P8SKKXWY3yhpkoGsNIrX2mZj50vWnsSBqDx6mSEr-YTTTSE88dCX61g5MngvAKri69vMpeF5C5m5dgr02Q6PRBsWN2j57ArBzVC2Y6mY1w0qLzK_1ieiZhKBG1DzfFqgr2B3kiTxncezrckIHv8IiRnEG7uFbrq54ZfT99JIRCwPA4i4qhIIBqBq0Y6lq_YJAQ.wU1d8u-PnWL2kyUdyYEZf-YbtDoLP4prCQDO9F4xJ6U&dib_tag=se&qid=1737563037&s=computers&sr=1-315&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,Lenovo,Lenovo,Lenovo V15 G3 IAP,,thin and light,15.6 Inches,1920 x 1080 pixel,1920 x 1080 Pixels,21 x 13 x 3 cm; 1.7 kg,1 Lithium Ion batteries required. (included),,Intel,Core i3,3.3 GHz,1,DDR4,16 GB,SSD,,Headphones,Intel,Integrated,DDR4 SDRAM,Integrated,Wi-Fi,Windows 11 Home,Yes,2 Watt Hours,,3,,"User Manual, Lpatop",,1 kg 700 g,B0D5Z1J8GR,"#11,162 in Computers & Accessories (See Top 100 in Computers & Accessories)
#360 in Traditional Laptops",03-Jun-24,Lenovo,Lenovo,1 Piece,Laptop,,,,8 GB,,"3.6
5 ratings
3.6 out of 5 stars",,8,DDR4 SDRAM,,,,8 GB,Bluetooth,3,,6 Hours,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo ThinkPad E14 AMD Ryzen 7 7730U 14"" (35.56 cm) WUXGA IPS 300 Nits Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/AMD Radeon Graphics/Backlit Keyboard/FPR/Black/1.41 kg), 21JRS0H300","65,990",https://www.amazon.in/Lenovo-ThinkPad-Graphics-Keyboard-21JRS0H300/dp/B0DDY2TN52/ref=sr_1_316?dib=eyJ2IjoiMSJ9.umxf-QhliDbEv0kB_xcAdO3kz2KCQ-8nEapYzX3M22VNyu8a8rGw-kjf9CoMFHNdumz9aUSEky8ZzPS8w9WfPZrHYxLWK66jAmF5fUsfvrVKMAm3iDaosJGkIrWMmnPWcpVeBynbWPyj0HQfIYuMDmddUNMeZkNChFIbXEWz8P8SKKXWY3yhpkoGsNIrX2mZj50vWnsSBqDx6mSEr-YTTTSE88dCX61g5MngvAKri69vMpeF5C5m5dgr02Q6PRBsWN2j57ArBzVC2Y6mY1w0qLzK_1ieiZhKBG1DzfFqgr2B3kiTxncezrckIHv8IiRnEG7uFbrq54ZfT99JIRCwPA4i4qhIIBqBq0Y6lq_YJAQ.wU1d8u-PnWL2kyUdyYEZf-YbtDoLP4prCQDO9F4xJ6U&dib_tag=se&qid=1737563037&s=computers&sr=1-316&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,Lenovo,Lenovo,E14 Gen 5,Black,Laptop,14 Inches,,,44.7 x 30.3 x 8.2 cm; 1.41 kg,1 Lithium Polymer batteries required. (included),,AMD,Ryzen 7,2 GHz,1,DDR4,40 GB,SSD,,"Headphones, Speakers",AMD,Integrated,Shared,Integrated,Wi-Fi,Windows 11 Home,Yes,47 Watt Hours,,3,,"Laptop, User manual, Adapter",,1 kg 410 g,B0DDY2TN52,"#10,361 in Computers & Accessories (See Top 100 in Computers & Accessories)
#334 in Traditional Laptops",22-Aug-24,"LCFC (HeFei) Electronics Technology Co., Ltd. No.3188-1, Yungu Road, Economics and Technology Development District, Hefei, Anhui-230601, China","Lenovo India Pvt Ltd, RBD Icon, 2nd Floor, Doddenekundi Marathaalli Outer Ring Road Bangalore, India 560037",1 Case,Laptop,,,,,No Optical Drive,,,16,,,,AMD Radeon Graphics,,,,230 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung Galaxy Book4 (Gray, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core 5 120U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port","59,999",https://www.amazon.in/Samsung-Processor-Windows-Fingerprint-Graphics/dp/B0CX4VRZJT/ref=sr_1_317?dib=eyJ2IjoiMSJ9.umxf-QhliDbEv0kB_xcAdO3kz2KCQ-8nEapYzX3M22VNyu8a8rGw-kjf9CoMFHNdumz9aUSEky8ZzPS8w9WfPZrHYxLWK66jAmF5fUsfvrVKMAm3iDaosJGkIrWMmnPWcpVeBynbWPyj0HQfIYuMDmddUNMeZkNChFIbXEWz8P8SKKXWY3yhpkoGsNIrX2mZj50vWnsSBqDx6mSEr-YTTTSE88dCX61g5MngvAKri69vMpeF5C5m5dgr02Q6PRBsWN2j57ArBzVC2Y6mY1w0qLzK_1ieiZhKBG1DzfFqgr2B3kiTxncezrckIHv8IiRnEG7uFbrq54ZfT99JIRCwPA4i4qhIIBqBq0Y6lq_YJAQ.wU1d8u-PnWL2kyUdyYEZf-YbtDoLP4prCQDO9F4xJ6U&dib_tag=se&qid=1737563037&s=computers&sr=1-317&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,Samsung,Samsung,Samsung Galaxy Book4,Gray,Ultra-Portable,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,50.4 x 29.7 x 6.5 cm; 1.55 kg,1 Lithium Ion batteries required. (included),NP750XGK-KG2IN,Intel,Others,1.4 GHz,1,LPDDR4X,16 GB,SSD,Solid State,"Headphones, Speakers",Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,Yes,54 Watt Hours,220 Grams,4,,"45W Charger, Data Cable(USB-C to C, 1.8m), Notebook, Quick Start Guide",,1 kg 550 g,B0CX4VRZJT,"#6,598 in Computers & Accessories (See Top 100 in Computers & Accessories)
#227 in Traditional Laptops",10-Mar-24,"Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi-110001","Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi-110001",1 Count,Laptops,,,,512 GB,,"3.6
7 ratings
3.6 out of 5 stars",,,DDR4 SDRAM,5 GHz,Dolby Atmos,Intel Iris Xe Graphics,,"Bluetooth, 802.11ax",2,15.4 Volts,,1 MP,,,1,,,,,,,,,,,,,,,,,,,,,,45 Watts,,,,,,,,,,,,,,,,,,
"ASUS Vivobook S 14 OLED, 3K OLED 16:10, 120Hz 400 nits, AMD Ryzen AI 9 HX 370 Processor 2.0GHz, Built-in AI (24GB RAM/512GB SSD/Windows 11/Office 2021/Neutral Black/1.3 Kg), M5406WA-PP961WS","1,04,990",https://www.amazon.in/ASUS-Vivobook-OLED-Built-M5406WA-PP961WS/dp/B0DBLRN8R6/ref=sr_1_318?dib=eyJ2IjoiMSJ9.umxf-QhliDbEv0kB_xcAdO3kz2KCQ-8nEapYzX3M22VNyu8a8rGw-kjf9CoMFHNdumz9aUSEky8ZzPS8w9WfPZrHYxLWK66jAmF5fUsfvrVKMAm3iDaosJGkIrWMmnPWcpVeBynbWPyj0HQfIYuMDmddUNMeZkNChFIbXEWz8P8SKKXWY3yhpkoGsNIrX2mZj50vWnsSBqDx6mSEr-YTTTSE88dCX61g5MngvAKri69vMpeF5C5m5dgr02Q6PRBsWN2j57ArBzVC2Y6mY1w0qLzK_1ieiZhKBG1DzfFqgr2B3kiTxncezrckIHv8IiRnEG7uFbrq54ZfT99JIRCwPA4i4qhIIBqBq0Y6lq_YJAQ.wU1d8u-PnWL2kyUdyYEZf-YbtDoLP4prCQDO9F4xJ6U&dib_tag=se&qid=1737563037&s=computers&sr=1-318&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,ASUS,ASUS,ASUS Vivobook S 14 OLED,Neutral Black,,14 Inches,2880 x 1800 pixel,2880 x 1800 Pixels,42.9 x 27.2 x 6.7 cm; 1.3 kg,1 Lithium Ion batteries required. (included),M5406WA-PP961WS,AMD,Ryzen 9,5.1 GHz,12,Lpddr 5,24 GB,SSD,,,AMD,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Windows 11 Home,Yes,75 Watt Hours,,4,,"Laptop, Charger & User Manual",China,1 kg 300 g,B0DBLRN8R6,"#18,380 in Computers & Accessories (See Top 100 in Computers & Accessories)
#533 in Traditional Laptops",30-Jul-24,"TECH FRONT ( CHONGQING) Computer Co. Ltd, NO 18 , Zongbao Road, Shapingba Dist,Chongquing, China","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",1 Count,Laptop,,,,,No Optical Storage,"4.8
10 ratings
4.8 out of 5 stars",,,DDR5 RAM,,,AMD Radeon 890M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung Galaxy Book3 (NP754) Intel Core i3 13th Gen 1315U 39.6cm (15.6-inch) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11 Pro (64bit)/Intel UHD Graphics/Silver/1.57 Kg), NP754XFG-KB3IN.","38,890",https://www.amazon.in/Samsung-15-6-inch-Windows-Graphics-NP754XFG-KB3IN/dp/B0D83YDSGM/ref=sr_1_319?dib=eyJ2IjoiMSJ9.umxf-QhliDbEv0kB_xcAdO3kz2KCQ-8nEapYzX3M22VNyu8a8rGw-kjf9CoMFHNdumz9aUSEky8ZzPS8w9WfPZrHYxLWK66jAmF5fUsfvrVKMAm3iDaosJGkIrWMmnPWcpVeBynbWPyj0HQfIYuMDmddUNMeZkNChFIbXEWz8P8SKKXWY3yhpkoGsNIrX2mZj50vWnsSBqDx6mSEr-YTTTSE88dCX61g5MngvAKri69vMpeF5C5m5dgr02Q6PRBsWN2j57ArBzVC2Y6mY1w0qLzK_1ieiZhKBG1DzfFqgr2B3kiTxncezrckIHv8IiRnEG7uFbrq54ZfT99JIRCwPA4i4qhIIBqBq0Y6lq_YJAQ.wU1d8u-PnWL2kyUdyYEZf-YbtDoLP4prCQDO9F4xJ6U&dib_tag=se&qid=1737563037&s=computers&sr=1-319&xpid=TXeoTC7BKWJe3,22-01-2025 22:28,Samsung,Nanchang Huaqin Electronic Tecnology Co. Ltd.,NP754XFG-KB3IN,Silver,Netbook,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,50.4 x 29.8 x 6.4 cm; 1.57 kg,1 Lithium Ion batteries required. (included),NP754XFG-KB3IN,Intel,Core i3,1.2 GHz,10,LPDDR4X,8 GB,SSD,Solid State,"Headphones, Speakers",Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Windows 11 Pro,Yes,68 Watt Hours,,4,,"1 User manual, 1 AC Adaptor, 1 Device unit, 1 Power Cord",,1 kg 570 g,B0D83YDSGM,"#11,851 in Computers & Accessories (See Top 100 in Computers & Accessories)
#374 in Traditional Laptops",30-Mar-24,"Samsung India Electronics Pvt. Ltd. 6th floor, DLF Centre, Sansad Marg, New Delhi 110001.","Samsung India Electronics Pvt. Ltd. 6th floor, DLF Centre, Sansad Marg, New Delhi 110001.",1 Piece,Laptop,,,,512 GB,,"3.7
6 ratings
3.7 out of 5 stars",,,DDR4 SDRAM,,Stereo Speakers ( 2 W x 2 ),,,"Bluetooth, 802.11ax",2,,4.5 Hours,,,,1,,,,,,,,,,,,,,,,,,,,,,45 Watts,,,,,,,,,,,,,,,8.5 Hours,,,
