title,price,url,scrape_date,tech_Manufacturer,tech_Country of Origin,tech_Item model number,tech_Package Dimensions,tech_ASIN,info_Manufacturer,info_Packer,info_Importer,info_Item Weight,info_Net Quantity,info_Included Components,info_Generic Name,tech_Brand,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Product Dimensions,tech_Batteries,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Disk Description,tech_Audio Details,tech_Graphics Coprocessor,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Connectivity Type,tech_Number of USB 3.0 Ports,tech_Voltage,tech_Operating System,tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Item Dimensions LxWxH,tech_Resolution,tech_Computer Memory Type,tech_Optical Drive Type,tech_Memory Clock Speed,tech_Hard Drive Size,tech_Hard Drive Interface,tech_Wireless Type,tech_Average Battery Life (in hours),tech_Hard Disk Rotational Speed,tech_Number of HDMI Ports,tech_Power Source,tech_Hardware Platform,tech_Number of USB 2.0 Ports,tech_Notebook Display Technology,tech_Number of Ethernet Ports,tech_Speaker Description,tech_Wattage,tech_Average Battery Standby Life (in hours),tech_Lithium Battery Weight,tech_Number of Audio-out Ports,tech_Front Webcam Resolution,tech_Number of Lithium Metal Cells,tech_Rear Webcam Resolution
"ASUS Zenbook 14, Intel Core Ultra 7, 14"" 3K OLED 16:10 120 Hz, Thin & Light Laptop, Built-in AI (16GB RAM/1 TB//Win 11/Office 2021/Backlit/Touchscreen/75WHr /Foggy Silver/1.28 Kg), UX3405MA-PZ751WS","99,990",https://www.amazon.in/ASUS-Zenbook-Intel-Ultra-Built/dp/B0D89TT6VK/ref=sr_1_410?dib=eyJ2IjoiMSJ9.E9EyZZkIcI1leKGffLbitG86Q6RZI8Gtd1ypjUHfKByDT22kOmt3aY1S0C6yrMLq9_5Kbu7V-fNd_gCsvZPlusVwno7LyBGXjPOlnN9XzAkd2oVQUy3-g54tGE4CHmH77qflMX7HotRYh8GoMZT78b8IPh4wS161-K7g7FDSrH7DYgA9h6yGs_bKbH9on73YwoWtNKjNiLTXaJhGg7bvdwvYdKLrDV7LpmXRN2HYyiDexnKHoTIvXPpre2KE5jrHzFRmP6v7wzzuaUJPPgLYt7CzICKDTdWWXKfMA2dObNCporRzaezUH7izPXEpmjzQ7in3N8o-qIBU3Svn4gLlcZK_ZKgPT3EsekHUGb6PoMQ.UrAz6mPGADmVizU2uneZqMdW5YDCnaarbjh-lwSc4l0&dib_tag=se&qid=1737615259&s=computers&sr=1-410&xpid=UXgihshJk2j2d,2025-01-23 12:36:47,ASUS,,UX3405MA-PZ751WS,,,,"TECH FRONT (CHONGQING) COMPUTER CO. LTD. NO. 18, ZONGBAO ROAD, SHAPINGBA DISTRICT CHONGQING, CHINA","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",,1 Count,,Laptop,ASUS,ASUS Zenbook 14 OLED,"Silver,16GB,Intel Ultra 7 155H|Intel Arc Graphics",Ultra-Portable,41.3 Centimeters,29.1 Centimeters,14 Inches,2880 x 1800 pixels,7.4 x 29.1 x 41.3 cm; 2.73 kg,1 Lithium Ion batteries required. (included),Intel,Intel Core Ultra 7,1.4 GHz,16,16,LPDDR5X,16 GB,SSD,,Intel Arc Graphics,Intel,Integrated,GDDR5X,,PCI Express,"Bluetooth, Wi-Fi",,,Windows 11 Home,Yes,,4,"Laptop, Charging Adapter & User Manual",2 kg 730 g,B0D89TT6VK,"4.8
4 ratings
4.8 out of 5 stars","#20,964 in Computers & Accessories (See Top 100 in Computers & Accessories)
#586 in Traditional Laptops",28 June 2024,7.4 x 29.1 x 41.3 Centimeters,,DDR5 RAM,No Optical Storage,,,,,,,,,,,,,,,,,,,,
"Samsung Galaxy Book4 (Silver, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core 7 150U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port","70,929",https://www.amazon.in/Samsung-Processor-Windows-Fingerprint-Graphics/dp/B0CX4RDD6V/ref=sr_1_411?dib=eyJ2IjoiMSJ9.E9EyZZkIcI1leKGffLbitG86Q6RZI8Gtd1ypjUHfKByDT22kOmt3aY1S0C6yrMLq9_5Kbu7V-fNd_gCsvZPlusVwno7LyBGXjPOlnN9XzAkd2oVQUy3-g54tGE4CHmH77qflMX7HotRYh8GoMZT78b8IPh4wS161-K7g7FDSrH7DYgA9h6yGs_bKbH9on73YwoWtNKjNiLTXaJhGg7bvdwvYdKLrDV7LpmXRN2HYyiDexnKHoTIvXPpre2KE5jrHzFRmP6v7wzzuaUJPPgLYt7CzICKDTdWWXKfMA2dObNCporRzaezUH7izPXEpmjzQ7in3N8o-qIBU3Svn4gLlcZK_ZKgPT3EsekHUGb6PoMQ.UrAz6mPGADmVizU2uneZqMdW5YDCnaarbjh-lwSc4l0&dib_tag=se&qid=1737615259&s=computers&sr=1-411&xpid=UXgihshJk2j2d,2025-01-23 12:36:47,Samsung,,NP750XGK-KS3IN,50.6 x 29.7 x 6.7 cm; 1.55 kg,,,"Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi-110001","Samsung India Electronics Pvt. Ltd. having its Registered Office at: 6th Floor, DLF Centre, Sansad Marg, New Delhi-110001",,1 Count,,Laptops,Samsung,Samsung Galaxy Book4,Silver,Ultra-Portable,,,15.6 Inches,1920 x 1080 pixels,,1 Lithium Ion batteries required. (included),Intel,Others,1.8 GHz,1,,LPDDR4X,16 GB,SSD,"Headphones, Speakers",Intel Iris Xe Graphics,Intel,Integrated,Shared,,Integrated,"Bluetooth, Wi-Fi",2,15.4 Volts,Windows 11 Home,Yes,54 Watt Hours,4,"Notebook,45W Charger,Data Cable(USB-C to C, 1.8m),Quick Start Guide,,",1 kg 550 g,B0CX4RDD6V,"1.0
1 rating
1.0 out of 5 stars","#69,147 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2,175 in Traditional Laptops",5 March 2024,,1920 x 1080 Pixels,DDR4 SDRAM,,5.4 GHz,512 GB,Solid State,"Bluetooth, 802.11ax",,,1,,,,,,Dolby Atmos,45 Watts,,220 Grams,,1 MP,,
"(Refurbished) Dell G15-5530 Gaming Laptop, Intel Core i5-13450HX Processor, 16GB DDR5, 1TB, NVIDIA RTX 3050,6GB GDDR6, 15.6"" (39.62cm) FHD 120Hz 250 nits, Backlit KB Orange,Win 11 + MSO'21, Dark Shadow Gray, 2.65kg","63,741",https://www.amazon.in/Refurbished-Dell-Gaming-i5-13450HX-Processor/dp/B0CXM14ZY7/ref=sr_1_412?dib=eyJ2IjoiMSJ9.E9EyZZkIcI1leKGffLbitG86Q6RZI8Gtd1ypjUHfKByDT22kOmt3aY1S0C6yrMLq9_5Kbu7V-fNd_gCsvZPlusVwno7LyBGXjPOlnN9XzAkd2oVQUy3-g54tGE4CHmH77qflMX7HotRYh8GoMZT78b8IPh4wS161-K7g7FDSrH7DYgA9h6yGs_bKbH9on73YwoWtNKjNiLTXaJhGg7bvdwvYdKLrDV7LpmXRN2HYyiDexnKHoTIvXPpre2KE5jrHzFRmP6v7wzzuaUJPPgLYt7CzICKDTdWWXKfMA2dObNCporRzaezUH7izPXEpmjzQ7in3N8o-qIBU3Svn4gLlcZK_ZKgPT3EsekHUGb6PoMQ.UrAz6mPGADmVizU2uneZqMdW5YDCnaarbjh-lwSc4l0&dib_tag=se&qid=1737615259&s=computers&sr=1-412&xpid=UXgihshJk2j2d,2025-01-23 12:36:47,Dell India Pvt Ltd,,New Dell Gaming G15-cr,57.9 x 35.7 x 7.7 cm; 2.65 kg,,,,,,,,Laptop,Dell,G15-5530,Dark Shadow Gray with Black thermal shelf,Laptop,,,15.6 Inches,1920 x 1080 pixel,,,Intel,Core i5,4.6 GHz,1,16,DDR5,32 GB,SSD,,,NVIDIA,Dedicated,GDDR6,6 GB,,"Bluetooth, Wi-Fi",,28 Volts,Windows 11 Home,Yes,56 Watt Hours,3,"User Manual, Laptop, Charger & Adapter",2 kg 650 g,B0CXM14ZY7,"2.0
1 rating
2.0 out of 5 stars","#11,338 in Computers & Accessories (See Top 100 in Computers & Accessories)
#342 in Traditional Laptops",9 March 2024,,1920 x 1080,DDR5 RAM,,,1E+3 GB,,,,,,,,,,,,,,,,,,
"Dell Inspiron 5630 13th Gen Laptop, Intel Core i5-1340P Processor/16Gb LPDDR5/512GB /16.0"" (40.64cm) FHD+ WVA AG 250 nits/Backlit KB + FPR/Windows 11+ MSO'21/McAfee 15 Months/Platinum Silver/1.85kg","64,490",https://www.amazon.in/Dell-Inspiron-i5-1340P-Processor-Platinum/dp/B0C14363BM/ref=sr_1_413?dib=eyJ2IjoiMSJ9.E9EyZZkIcI1leKGffLbitG86Q6RZI8Gtd1ypjUHfKByDT22kOmt3aY1S0C6yrMLq9_5Kbu7V-fNd_gCsvZPlusVwno7LyBGXjPOlnN9XzAkd2oVQUy3-g54tGE4CHmH77qflMX7HotRYh8GoMZT78b8IPh4wS161-K7g7FDSrH7DYgA9h6yGs_bKbH9on73YwoWtNKjNiLTXaJhGg7bvdwvYdKLrDV7LpmXRN2HYyiDexnKHoTIvXPpre2KE5jrHzFRmP6v7wzzuaUJPPgLYt7CzICKDTdWWXKfMA2dObNCporRzaezUH7izPXEpmjzQ7in3N8o-qIBU3Svn4gLlcZK_ZKgPT3EsekHUGb6PoMQ.UrAz6mPGADmVizU2uneZqMdW5YDCnaarbjh-lwSc4l0&dib_tag=se&qid=1737615259&s=computers&sr=1-413&xpid=UXgihshJk2j2d,2025-01-23 12:36:47,Dell India Pvt Ltd,India,Inspiration 5630,,,,Dell India Pvt Ltd,Dell India Pvt Ltd,,1 Count,,Laptop,Dell,Inspiron,Platinum Silver,Laptop,53 Centimeters,6.6 Centimeters,16 Inches,1920 x 1080 pixel,53 x 6.6 x 53 cm; 1.85 kg,1 Lithium Ion batteries required. (included),Intel,Core i5,3.4 GHz,1,16 GB,Lpddr 5,16 GB,SSD,Speakers,,Intel,Integrated,Shared,,Integrated,"Bluetooth, Wi-Fi",1,240 Volts,Windows 11,Yes,,1,"Laptop, Battery, AC Adapter, User Guide, Manuals",1 kg 850 g,B0C14363BM,"3.8
32 ratings
3.8 out of 5 stars","#22,175 in Computers & Accessories (See Top 100 in Computers & Accessories)
#629 in Traditional Laptops",31 March 2023,53 x 6.6 x 53 Centimeters,,,,4800 MHz,512 GB,,Bluetooth,,,1,Battery Powered,,,,,,65 Watts,,,,,,0.92 MP
"HP 255 G8 Laptop with AMD Athlon Silver 3050U APU/ 8GB Ram/ 256GB SSD/DOS/AMD Radeon Vega 8 Mobile Graphics/39.6 cm HD (1366 x 768), SVA, Anti-Glare WLED/Black/1 Year Onsite Warranty","23,900",https://www.amazon.in/HP-Laptop-Graphics-Anti-Glare-Warranty/dp/B0BVQJ5R2H/ref=sr_1_414?dib=eyJ2IjoiMSJ9.E9EyZZkIcI1leKGffLbitG86Q6RZI8Gtd1ypjUHfKByDT22kOmt3aY1S0C6yrMLq9_5Kbu7V-fNd_gCsvZPlusVwno7LyBGXjPOlnN9XzAkd2oVQUy3-g54tGE4CHmH77qflMX7HotRYh8GoMZT78b8IPh4wS161-K7g7FDSrH7DYgA9h6yGs_bKbH9on73YwoWtNKjNiLTXaJhGg7bvdwvYdKLrDV7LpmXRN2HYyiDexnKHoTIvXPpre2KE5jrHzFRmP6v7wzzuaUJPPgLYt7CzICKDTdWWXKfMA2dObNCporRzaezUH7izPXEpmjzQ7in3N8o-qIBU3Svn4gLlcZK_ZKgPT3EsekHUGb6PoMQ.UrAz6mPGADmVizU2uneZqMdW5YDCnaarbjh-lwSc4l0&dib_tag=se&qid=1737615259&s=computers&sr=1-414&xpid=UXgihshJk2j2d,2025-01-23 12:36:47,HP,,,,,,HP,HP,,1 count,,Laptop,HP,255 G8,Black,Laptop,28 Centimeters,50 Centimeters,15.6 Inches,1366 x 768,50 x 50 x 28 cm; 2 kg,1 Lithium Ion batteries required.,AMD,Athlon Silver 3050U,3.2 GHz,1,8 GB,LPDDR4,16 GB,SSD,Headphones,AMD Radeon Vega 8,AMD,Integrated,DDR4 SDRAM,,Integrated,Wi-Fi,1,37.2 Volts,DOS,No,,3,"LAPTOP,MANUAL,ADAPTOR,POWER CHORD,,",2 kg,B0BVQJ5R2H,"3.5
46 ratings
3.5 out of 5 stars","#11,151 in Computers & Accessories (See Top 100 in Computers & Accessories)
#335 in Traditional Laptops",14 February 2023,50 x 50 x 28 Centimeters,1920 x 1080 Pixels,,,,256 GB,Solid State,,,5400 RPM,,ac,,2,,,,,,,,,,
"ASUS TUF Gaming A16 Advantage Edition, 16"" FHD+ 144Hz 300nits, AMD Ryzen 7 7435HS Processor, Gaming Laptop (16GB RAM/512GB SSD/AMD Radeon RX 7600S/Windows 11/Off Black/2.2 Kg), FA617NSR-RL083W","79,990",https://www.amazon.in/ASUS-Advantage-300nits-Processor-FA617NSR-RL083W/dp/B0DBVRLST8/ref=sr_1_415?dib=eyJ2IjoiMSJ9.E9EyZZkIcI1leKGffLbitG86Q6RZI8Gtd1ypjUHfKByDT22kOmt3aY1S0C6yrMLq9_5Kbu7V-fNd_gCsvZPlusVwno7LyBGXjPOlnN9XzAkd2oVQUy3-g54tGE4CHmH77qflMX7HotRYh8GoMZT78b8IPh4wS161-K7g7FDSrH7DYgA9h6yGs_bKbH9on73YwoWtNKjNiLTXaJhGg7bvdwvYdKLrDV7LpmXRN2HYyiDexnKHoTIvXPpre2KE5jrHzFRmP6v7wzzuaUJPPgLYt7CzICKDTdWWXKfMA2dObNCporRzaezUH7izPXEpmjzQ7in3N8o-qIBU3Svn4gLlcZK_ZKgPT3EsekHUGb6PoMQ.UrAz6mPGADmVizU2uneZqMdW5YDCnaarbjh-lwSc4l0&dib_tag=se&qid=1737615259&s=computers&sr=1-415&xpid=UXgihshJk2j2d,2025-01-23 12:36:47,ASUS,China,FA617NSR-RL083W,42.79 x 31.1 x 10.7 cm; 2.2 kg,,,"INVENTEC (CHONGQING) CORPORATION, NO.66, WEST DISTRICT 2ND RD, SHAPINGBA DISTRICT, CHONGQING, CHINA 401331","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",,1 Count,,Laptop,ASUS,ASUS TUF Gaming A16 Advantage Edition,Off Black,Laptop,,,16 Inches,1920 x 1080 pixel,,1 Lithium Ion batteries required. (included),AMD,AMD Ryzen 7,4.5 GHz,8,,DDR5,32 GB,SSD,,AMD Radeon RTX 7600S,AMD,Dedicated,GDDR6,8 GB,Integrated,,,110 Volts,Windows 11 Home,Yes,90 Watt Hours,4,"Laptop, Charger & User Manual",2 kg 200 g,B0DBVRLST8,"3.7
8 ratings
3.7 out of 5 stars","#21,192 in Computers & Accessories (See Top 100 in Computers & Accessories)
#590 in Traditional Laptops",1 August 2024,,1920 x 1200 Pixels,DDR5 RAM,No Optical Storage,,,,,,,,,,,,,,,,,,,,
"HP Laptop 245 G9 (2024), AMD Ryzen 3 3250U Dual Core - (16GB/512GB SSD/AMD Radeon Graphics/Windows 11) Thin and Light Business Laptop/14 (35.56cm)/Silver/1.47 kg/MS Office 2021","28,399",https://www.amazon.in/HP-Laptop-245-G9-Ryzen/dp/B0DJCZB7QS/ref=sr_1_416?dib=eyJ2IjoiMSJ9.E9EyZZkIcI1leKGffLbitG86Q6RZI8Gtd1ypjUHfKByDT22kOmt3aY1S0C6yrMLq9_5Kbu7V-fNd_gCsvZPlusVwno7LyBGXjPOlnN9XzAkd2oVQUy3-g54tGE4CHmH77qflMX7HotRYh8GoMZT78b8IPh4wS161-K7g7FDSrH7DYgA9h6yGs_bKbH9on73YwoWtNKjNiLTXaJhGg7bvdwvYdKLrDV7LpmXRN2HYyiDexnKHoTIvXPpre2KE5jrHzFRmP6v7wzzuaUJPPgLYt7CzICKDTdWWXKfMA2dObNCporRzaezUH7izPXEpmjzQ7in3N8o-qIBU3Svn4gLlcZK_ZKgPT3EsekHUGb6PoMQ.UrAz6mPGADmVizU2uneZqMdW5YDCnaarbjh-lwSc4l0&dib_tag=se&qid=1737615259&s=computers&sr=1-416&xpid=UXgihshJk2j2d,2025-01-23 12:36:47,HP,,245 G9,32.4 x 22.5 x 1.9 cm; 1.5 kg,,,HP INDIA PRIVATE LIMITED,HP INDIA PRIVATE LIMITED,,1 Count,,BUSINESS LAPTOP,HP,245 G9,Silver,Notebook,,,14 Inches,1366 x 768 pixels,,,AMD,Ryzen 3 3250U,2.6 GHz,2,,DDR4,16 GB,SSD,"Headphones, Speakers",AMD Radeon Graphics,AMD,Integrated,Shared,,Integrated,"Bluetooth, Wi-Fi",1,,Windows 11 Pro,,,,"LAPTOP, POWER ADAPTER, USER GUIDE",1 kg 500 g,B0DJCZB7QS,"2.0
2 ratings
2.0 out of 5 stars","#23,502 in Computers & Accessories (See Top 100 in Computers & Accessories)
#666 in Traditional Laptops",2 October 2024,,1366 x 768 Pixels,DDR4 SDRAM,,3.5 GHz,512 GB,Solid State,,,7200 RPM,1,,,2,,1,Built in Dual Speakers,,,,,,,
"HP Victus, AMD Ryzen 7 8845HS, 16GB DDR5, 512GB SSD, 6GB NVIDIA RTX 4050, (Win 11, Office 21, Blue, 2.3kg) 144Hz, IPS, 15.6-inch(39.6 cm) Flicker-Free FHD Gaming Laptop, Enhanced Cooling, fb2114AX","87,990",https://www.amazon.in/HP-Victus-Powered-15-6-inch-Backlit/dp/B0D7PY3NHG/ref=sr_1_417?dib=eyJ2IjoiMSJ9.E9EyZZkIcI1leKGffLbitG86Q6RZI8Gtd1ypjUHfKByDT22kOmt3aY1S0C6yrMLq9_5Kbu7V-fNd_gCsvZPlusVwno7LyBGXjPOlnN9XzAkd2oVQUy3-g54tGE4CHmH77qflMX7HotRYh8GoMZT78b8IPh4wS161-K7g7FDSrH7DYgA9h6yGs_bKbH9on73YwoWtNKjNiLTXaJhGg7bvdwvYdKLrDV7LpmXRN2HYyiDexnKHoTIvXPpre2KE5jrHzFRmP6v7wzzuaUJPPgLYt7CzICKDTdWWXKfMA2dObNCporRzaezUH7izPXEpmjzQ7in3N8o-qIBU3Svn4gLlcZK_ZKgPT3EsekHUGb6PoMQ.UrAz6mPGADmVizU2uneZqMdW5YDCnaarbjh-lwSc4l0&dib_tag=se&qid=1737615259&s=computers&sr=1-417&xpid=UXgihshJk2j2d,2025-01-23 12:36:47,HP,India,A85SGPA,,,,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,,1 Count,,Laptop,HP,15-fb2114AX,Blue Ryzen 7 8845HS + 6GB RTX4050 + 16GB/512GB,Laptop,54.2 Centimeters,30.2 Centimeters,39.6 Centimetres,1920 x 1080 pixel,7 x 30.2 x 54.2 cm; 3.54 kg,1 Lithium Polymer batteries required. (included),AMD,AMD Ryzen 7,5.1 GHz,1,16,DDR5,16 GB,SSD,,NVIDIA GeForce RTX 4050,NVIDIA,Dedicated,DDR5 SDRAM,6 GB,PCI Express,"Bluetooth, Wi-Fi",,,Windows 11 Home,Yes,70 Watt Hours,4,"Laptop, Charger, User Manual",3 kg 540 g,B0D7PY3NHG,"4.5
2 ratings
4.5 out of 5 stars","#17,003 in Computers & Accessories (See Top 100 in Computers & Accessories)
#480 in Traditional Laptops",21 June 2024,7 x 30.2 x 54.2 Centimeters,,,,,512 GB,,,,,,,,,,,,,,,,,,
"HP Pavilion, AMD Ryzen 5 7530U, 8GB DDR4, 512GB SSD, Anti-Glare, Micro-Edge, 15.6-inch(39.6cm) FHD Laptop, AMD Radeon Graphics, HD Camera, Backlit KB (Win 11, Office 21, Silver, 1.75kg) eh3036AU","46,990",https://www.amazon.in/HP-Pavilion-15-6-inch-Graphics-eh3036AU/dp/B0D154JLVS/ref=sr_1_418?dib=eyJ2IjoiMSJ9.E9EyZZkIcI1leKGffLbitG86Q6RZI8Gtd1ypjUHfKByDT22kOmt3aY1S0C6yrMLq9_5Kbu7V-fNd_gCsvZPlusVwno7LyBGXjPOlnN9XzAkd2oVQUy3-g54tGE4CHmH77qflMX7HotRYh8GoMZT78b8IPh4wS161-K7g7FDSrH7DYgA9h6yGs_bKbH9on73YwoWtNKjNiLTXaJhGg7bvdwvYdKLrDV7LpmXRN2HYyiDexnKHoTIvXPpre2KE5jrHzFRmP6v7wzzuaUJPPgLYt7CzICKDTdWWXKfMA2dObNCporRzaezUH7izPXEpmjzQ7in3N8o-qIBU3Svn4gLlcZK_ZKgPT3EsekHUGb6PoMQ.UrAz6mPGADmVizU2uneZqMdW5YDCnaarbjh-lwSc4l0&dib_tag=se&qid=1737615259&s=computers&sr=1-418&xpid=UXgihshJk2j2d,2025-01-23 12:36:47,HP,China,Hp Pavilion,,,,"SG66 – QUANTA CQ Tech-Front (CHongqing) computer CO.,LTD 18#, comprehensive bonded zone avenue, Shapingba District 401332 Chongqing China","HP India Sales pvt limited, 24 kothari Arena, Hosur main road, Adugodi , Bangalore -560030.",,1 Count,,Laptop,HP,HP Pavilion,R5 7530U + 8GB/512GB,Ultra-Portable,52.8 Centimeters,40.6 Centimeters,15.6 Inches,1920 x 1080 pixel,6.9 x 40.6 x 52.8 cm; 2.54 kg,1 Lithium Ion batteries required. (included),AMD,Ryzen 5,4.5 GHz,1,8 GB,DDR4,8 GB,SSD,Speakers,,AMD,Integrated,DDR4 SDRAM,,Integrated,Wi-Fi,,11.1 Volts,Windows 11 Home,Yes,41 Watt Hours,3,"Laptop, Power Adapter, User Manual",2 kg 540 g,B0D154JLVS,"3.3
19 ratings
3.3 out of 5 stars","#20,667 in Computers & Accessories (See Top 100 in Computers & Accessories)
#580 in Traditional Laptops",8 April 2024,6.9 x 40.6 x 52.8 Centimeters,,,,,512 GB,,Bluetooth,,,1,,,,,,,,,,,,,
"(Refurbished) Lenovo Thinkpad Touchscreen Laptop T480 Intel Core i5 8th Generation - 8350u Processor 8 GB Ram & 256 GB SSD, 14 Inches Notebook Computer","18,600",https://www.amazon.in/Renewed-Lenovo-Thinkpad-Touchscreen-Generation/dp/B0BJKRQD84/ref=sr_1_419?dib=eyJ2IjoiMSJ9.E9EyZZkIcI1leKGffLbitG86Q6RZI8Gtd1ypjUHfKByDT22kOmt3aY1S0C6yrMLq9_5Kbu7V-fNd_gCsvZPlusVwno7LyBGXjPOlnN9XzAkd2oVQUy3-g54tGE4CHmH77qflMX7HotRYh8GoMZT78b8IPh4wS161-K7g7FDSrH7DYgA9h6yGs_bKbH9on73YwoWtNKjNiLTXaJhGg7bvdwvYdKLrDV7LpmXRN2HYyiDexnKHoTIvXPpre2KE5jrHzFRmP6v7wzzuaUJPPgLYt7CzICKDTdWWXKfMA2dObNCporRzaezUH7izPXEpmjzQ7in3N8o-qIBU3Svn4gLlcZK_ZKgPT3EsekHUGb6PoMQ.UrAz6mPGADmVizU2uneZqMdW5YDCnaarbjh-lwSc4l0&dib_tag=se&qid=1737615259&s=computers&sr=1-419&xpid=UXgihshJk2j2d,2025-01-23 12:36:47,Lenovo,,T480-T-8th-i5-8-256-cr,,,,,,,1.00 count,,,Lenovo,T480-cr,black,Notebook,0.8 Centimeters,34 Centimeters,14 Inches,1366x768,23.5 x 34 x 0.8 cm; 1.68 kg,1 Lithium Ion batteries required.,Intel,Core i5 8250U,1.7 GHz,1,8 GB,DDR4,8 GB,SSD,Headphones,intel,Intel,Integrated,DDR SDRAM,,Integrated,Wi-Fi,2,,Windows 10 Pro,No,45 Watt Hours,1,"Laptop , Charger",1 kg 680 g,B0BJKRQD84,"3.7
35 ratings
3.7 out of 5 stars","#10,983 in Computers & Accessories (See Top 100 in Computers & Accessories)
#7 in Renewed Clearance Store
#330 in Traditional Laptops",18 October 2022,23.5 x 34 x 0.8 Centimeters,1080p Full HD Pixels,,No Optical Drive,,256 GB,,,,5400 RPM,,Battery Powered,Windows,,,,,,,,,,,
"(Refurbished) Acer Chromebook Intel Celeron N4500 Processor (Chrome OS/8 GB RAM/128 GB eMMC/WiFi 6) CB315-4H with 39.6 cm (15.6"") Full HD LED Backlit TFT LCD, Silver, 1.6 KG","14,400",https://www.amazon.in/Refurbished-Acer-Chromebook-Processor-CB315-4H/dp/B0DJYTDCY8/ref=sr_1_420?dib=eyJ2IjoiMSJ9.E9EyZZkIcI1leKGffLbitG86Q6RZI8Gtd1ypjUHfKByDT22kOmt3aY1S0C6yrMLq9_5Kbu7V-fNd_gCsvZPlusVwno7LyBGXjPOlnN9XzAkd2oVQUy3-g54tGE4CHmH77qflMX7HotRYh8GoMZT78b8IPh4wS161-K7g7FDSrH7DYgA9h6yGs_bKbH9on73YwoWtNKjNiLTXaJhGg7bvdwvYdKLrDV7LpmXRN2HYyiDexnKHoTIvXPpre2KE5jrHzFRmP6v7wzzuaUJPPgLYt7CzICKDTdWWXKfMA2dObNCporRzaezUH7izPXEpmjzQ7in3N8o-qIBU3Svn4gLlcZK_ZKgPT3EsekHUGb6PoMQ.UrAz6mPGADmVizU2uneZqMdW5YDCnaarbjh-lwSc4l0&dib_tag=se&qid=1737615259&s=computers&sr=1-420&xpid=UXgihshJk2j2d,2025-01-23 12:36:47,Acer,,CB315-4H-cr,50.5 x 32.2 x 7.3 cm; 1.6 kg,,,,,,1 Count,,Chromebook,Acer,CB315-4H,Silver,,,,15.6 Inches,1920 x 1080 pixels,,,Intel,Celeron,1.1 GHz,1,,LPDDR4X,8 GB,Emmc,,Intel UHD Graphics,Intel,Integrated,SDRAM,,,Bluetooth,,240 Volts,Chrome OS,Yes,,3,"1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",1 kg 600 g,B0DJYTDCY8,"5.0
1 rating
5.0 out of 5 stars","#24,552 in Computers & Accessories (See Top 100 in Computers & Accessories)
#89 in Renewed Store.
#691 in Traditional Laptops",12 October 2024,,1920 x 1080 Pixels,SDRAM,,,,,,,,,,,,,,,,,,,,3,
